"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ACOUSTICS','AGRICULTURAL ECONOMICS & POLICY','AGRICULTURAL ENGINEERING','AGRICULTURE, DAIRY & ANIMAL SCIENCE','AGRICULTURE, MULTIDISCIPLINARY','AGRONOMY','AUTOMATION & CONTROL SYSTEMS','BEHAVIORAL SCIENCES','BIOCHEMICAL RESEARCH METHODS','BIOCHEMISTRY & MOLECULAR BIOLOGY','BIODIVERSITY CONSERVATION','BIOLOGY','BIOPHYSICS','BIOTECHNOLOGY & APPLIED MICROBIOLOGY','BUSINESS','BUSINESS, FINANCE','COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE','COMPUTER SCIENCE, CYBERNETICS','COMPUTER SCIENCE, HARDWARE & ARCHITECTURE','COMPUTER SCIENCE, INFORMATION SYSTEMS','COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS','COMPUTER SCIENCE, SOFTWARE ENGINEERING','COMPUTER SCIENCE, THEORY & METHODS','CONSTRUCTION & BUILDING TECHNOLOGY','ECOLOGY','ECONOMICS','ENERGY & FUELS','ENGINEERING, AEROSPACE','ENGINEERING, BIOMEDICAL','ENGINEERING, CHEMICAL','ENGINEERING, CIVIL','ENGINEERING, ELECTRICAL & ELECTRONIC','ENGINEERING, ENVIRONMENTAL','ENGINEERING, GEOLOGICAL','ENGINEERING, INDUSTRIAL','ENGINEERING, MANUFACTURING','ENGINEERING, MARINE','ENGINEERING, MECHANICAL','ENGINEERING, MULTIDISCIPLINARY','ENGINEERING, OCEAN','ENGINEERING, PETROLEUM','ENTOMOLOGY','MANAGEMENT','MARINE & FRESHWATER BIOLOGY','MATERIALS SCIENCE, BIOMATERIALS','MATERIALS SCIENCE, CERAMICS','MATERIALS SCIENCE, CHARACTERIZATION & TESTING','MATERIALS SCIENCE, COATINGS & FILMS','MATERIALS SCIENCE, COMPOSITES','MATERIALS SCIENCE, MULTIDISCIPLINARY','MATERIALS SCIENCE, PAPER & WOOD','MATERIALS SCIENCE, TEXTILES','MATHEMATICS, APPLIED','MATHEMATICS, INTERDISCIPLINARY APPLICATIONS','MECHANICS','METALLURGY & METALLURGICAL ENGINEERING','MULTIDISCIPLINARY SCIENCES','OPERATIONS RESEARCH & MANAGEMENT SCIENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
975,NEUROCHEMICAL RESEARCH,"9,819",3.038,0.011270
976,IEEE TRANSACTIONS ON INFORMATION THEORY,"38,759",3.036,0.036130
977,STATISTICS AND COMPUTING,"4,519",3.035,0.011070
978,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,"1,405",3.033,0.003770
979,Journal of Biophotonics,"3,799",3.032,0.007950
980,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,"5,496",3.031,0.004220
981,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,"8,062",3.028,0.006780
982,High Voltage,354,3.027,0.001080
983,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,"5,368",3.025,0.007120
984,THEORETICAL AND APPLIED FRACTURE MECHANICS,"3,338",3.021,0.004790
985,IEEE SPECTRUM,"1,731",3.018,0.002830
986,JOURNAL OF APPLIED PHYCOLOGY,"11,417",3.016,0.009550
987,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"3,542",3.015,0.006950
988,Advances in Protein Chemistry and Structural Biology,733,3.014,0.001280
988,IRRIGATION SCIENCE,"2,758",3.014,0.001330
988,JOURNAL OF EXPERIMENTAL BIOLOGY,"34,201",3.014,0.032230
991,Comparative Biochemistry and Physiology D-Genomics & Proteomics,"1,181",3.011,0.001540
992,IEEE JOURNAL OF OCEANIC ENGINEERING,"4,647",3.005,0.003730
993,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,"22,568",3.004,0.019310
994,Advances in Marine Biology,"1,638",3.000,0.000940
994,PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,"1,669",3.000,0.001980
996,MECHANICS OF MATERIALS,"8,018",2.993,0.007690
997,MECHATRONICS,"4,632",2.992,0.005400
998,CIRP Journal of Manufacturing Science and Technology,"1,307",2.991,0.001600
998,COMPUTERS & GEOSCIENCES,"11,764",2.991,0.011290
998,Life-Basel,"1,264",2.991,0.004160
1001,DRYING TECHNOLOGY,"7,683",2.988,0.004330
1002,International Transactions in Operational Research,"1,876",2.987,0.002410
1003,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,"85,845",2.985,0.075030
1003,JOURNAL OF COMPUTATIONAL PHYSICS,"55,510",2.985,0.056930
1005,STRUCTURAL ENGINEERING AND MECHANICS,"4,856",2.984,0.004950
1006,Nano Futures,171,2.982,0.000520
1007,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,"3,246",2.979,0.003610
1008,BEHAVIOURAL BRAIN RESEARCH,"26,293",2.977,0.030790
1009,CURRENT DRUG METABOLISM,"3,749",2.960,0.003070
1009,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,"3,828",2.960,0.003570
1011,Journal of the Association for Information Systems,"2,607",2.957,0.002570
1012,CYTOKINE,"10,665",2.952,0.014140
1012,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,"1,854",2.952,0.002340
1012,PROCESS BIOCHEMISTRY,"17,861",2.952,0.010340
1015,Advanced Theory and Simulations,432,2.951,0.000700
1016,FINITE ELEMENTS IN ANALYSIS AND DESIGN,"4,381",2.949,0.004580
1017,BIOSCIENCE REPORTS,"5,711",2.942,0.009590
1018,Briefings in Functional Genomics,"1,786",2.941,0.003300
1019,Pharmacogenetics and Genomics,"3,032",2.940,0.002630
1020,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,"13,010",2.938,0.012050
1021,KNOWLEDGE AND INFORMATION SYSTEMS,"3,242",2.936,0.005480
1022,BIODIVERSITY AND CONSERVATION,"11,286",2.935,0.010350
1023,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,"3,909",2.932,0.003530
1024,Chemical and Biological Technologies in Agriculture,392,2.929,0.000820
1024,JOURNAL OF NON-CRYSTALLINE SOLIDS,"26,862",2.929,0.013290
1024,Journal of Breath Research,"1,998",2.929,0.003400
1027,IEEE MICROWAVE MAGAZINE,"2,084",2.928,0.003610
1028,ACM TRANSACTIONS ON DATABASE SYSTEMS,"1,383",2.927,0.001680
1029,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,"5,164",2.924,0.006250
1029,WATER RESOURCES MANAGEMENT,"11,012",2.924,0.012190
1031,Wiley Interdisciplinary Reviews-Energy and Environment,904,2.922,0.001890
1032,Nano Convergence,602,2.919,0.001430
1033,ALGAE,735,2.914,0.000860
1034,IEEE TRANSACTIONS ON ELECTRON DEVICES,"24,750",2.913,0.025390
1035,LIQUID CRYSTALS,"5,515",2.908,0.003950
1036,Lipids in Health and Disease,"5,918",2.906,0.008830
1036,VACUUM,"11,085",2.906,0.010470
1038,SENSORS AND ACTUATORS A-PHYSICAL,"20,225",2.904,0.017970
1038,VLDB JOURNAL,"2,141",2.904,0.003170
1040,Drug Testing and Analysis,"2,955",2.903,0.006180
1041,MATERIALS AND STRUCTURES,"11,183",2.901,0.011980
1042,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,"6,715",2.897,0.003130
1042,ENGINEERING FAILURE ANALYSIS,"8,346",2.897,0.008210
1044,JOURNAL OF COMPOSITES FOR CONSTRUCTION,"5,341",2.896,0.004490
1045,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,421",2.895,0.007790
1046,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,"2,104",2.894,0.002120
1047,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,"1,079",2.892,0.001480
1048,NEURAL PROCESSING LETTERS,"2,606",2.891,0.003140
1049,ACM TRANSACTIONS ON INFORMATION SYSTEMS,"2,019",2.889,0.001170
1049,Journal of Advanced Ceramics,853,2.889,0.001180
1051,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,"5,205",2.884,0.006170
1052,PHYSICS IN MEDICINE AND BIOLOGY,"26,592",2.883,0.027330
1053,Ecosphere,"7,692",2.878,0.022930
1054,ANALYTICAL BIOCHEMISTRY,"37,978",2.877,0.012280
1055,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,"6,026",2.875,0.005930
1056,EPJ Data Science,629,2.873,0.001970
1057,DIGITAL SIGNAL PROCESSING,"4,875",2.871,0.007450
1057,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,"3,059",2.871,0.002510
1059,Biology Letters,"10,300",2.869,0.017360
1060,JOURNAL OF MANAGEMENT IN ENGINEERING,"2,851",2.867,0.002360
1060,SCIENTOMETRICS,"12,229",2.867,0.012860
1062,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,"20,814",2.866,0.015110
1063,BIOCHEMISTRY,"70,619",2.865,0.046210
1064,COMPUTATIONAL MATERIALS SCIENCE,"23,867",2.863,0.024980
1065,IET Generation Transmission & Distribution,"9,077",2.862,0.017510
1065,Proceedings of the VLDB Endowment,"7,166",2.862,0.011510
1067,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,"2,249",2.861,0.002180
1068,ANIMAL COGNITION,"3,603",2.859,0.005250
1069,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,"18,538",2.849,0.010490
1070,Petroleum Exploration and Development,"3,818",2.845,0.004420
1070,Surface Innovations,377,2.845,0.000600
1072,PEPTIDES,"10,405",2.843,0.007000
1073,ANIMAL GENETICS,"3,863",2.841,0.004010
1074,JOURNAL OF FLUIDS AND STRUCTURES,"8,173",2.840,0.009360
1075,FREE RADICAL RESEARCH,"7,281",2.839,0.004720
1076,FLUID PHASE EQUILIBRIA,"15,900",2.838,0.011380
1077,EXCLI Journal,"1,622",2.837,0.002840
1078,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,"3,743",2.836,0.004830
1079,IET Electric Power Applications,"2,718",2.834,0.004450
1080,ACTA ASTRONAUTICA,"10,958",2.833,0.014270
1080,IEEE Photonics Journal,"8,441",2.833,0.018070
1082,CHAOS,"9,288",2.832,0.015250
1083,Colloid and Interface Science Communications,457,2.831,0.000730
1083,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,"9,029",2.831,0.007600
1083,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,"6,997",2.831,0.005900
1086,Journal of Rock Mechanics and Geotechnical Engineering,"2,323",2.829,0.004740
1087,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,"15,177",2.828,0.011060
1088,PHYSIOLOGY & BEHAVIOR,"22,074",2.826,0.020340
1089,ROBOTICS AND AUTONOMOUS SYSTEMS,"6,270",2.825,0.008450
1090,JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,"7,643",2.824,0.006410
1091,MATHEMATICAL PROGRAMMING,"10,266",2.823,0.019740
1091,MOLECULAR REPRODUCTION AND DEVELOPMENT,"5,497",2.823,0.004800
1093,BIOCELL,346,2.821,0.000160
1094,COMPUTER COMMUNICATIONS,"5,226",2.816,0.006210
1095,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,"7,886",2.814,0.011630
1095,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,"6,091",2.814,0.005570
1097,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,"10,911",2.812,0.007680
1098,Proteome Science,"1,085",2.811,0.001080
1099,COMPUTER STANDARDS & INTERFACES,"1,509",2.809,0.001550
1100,INTERNATIONAL JOURNAL OF FRACTURE,"7,788",2.807,0.004430
1100,MedChemComm,"4,365",2.807,0.007650
1102,BIODEGRADATION,"2,944",2.805,0.001320
1103,MAMMAL REVIEW,"2,044",2.804,0.002140
1104,CANADIAN GEOTECHNICAL JOURNAL,"12,401",2.802,0.009390
1104,GEOSYNTHETICS INTERNATIONAL,"1,441",2.802,0.001830
1104,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,"3,994",2.802,0.005810
1107,Sustainable Computing-Informatics & Systems,524,2.798,0.000760
1108,MOLECULAR GENETICS AND GENOMICS,"4,740",2.797,0.006180
1109,JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,"6,632",2.795,0.006490
1110,Peer-to-Peer Networking and Applications,"1,119",2.793,0.001720
1111,DESIGN STUDIES,"2,651",2.791,0.001220
1111,IEEE TRANSACTIONS ON NANOBIOSCIENCE,"1,785",2.791,0.003780
1111,Insect Science,"2,154",2.791,0.003370
1114,Journal of Cloud Computing-Advances Systems and Applications,395,2.788,0.000520
1115,Particuology,"3,201",2.787,0.003980
1115,SCIENCE AND ENGINEERING ETHICS,"2,129",2.787,0.003680
1117,JOURNAL OF BIOMEDICAL OPTICS,"14,713",2.785,0.016300
1117,Mineral Processing and Extractive Metallurgy Review,"1,176",2.785,0.000930
1119,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,"2,965",2.784,0.001730
1120,INTERNATIONAL JOURNAL OF CONTROL,"8,656",2.780,0.010070
1120,Nonlinear Analysis-Modelling and Control,907,2.780,0.001340
1122,ASIAN JOURNAL OF CONTROL,"3,168",2.779,0.004570
1122,Applied Economic Perspectives and Policy,857,2.779,0.001800
1122,JOURNAL OF EARTHQUAKE ENGINEERING,"2,767",2.779,0.003030
1122,OPTICAL MATERIALS,"14,530",2.779,0.014950
1122,SIGNAL PROCESSING-IMAGE COMMUNICATION,"2,958",2.779,0.004890
1127,JOURNAL OF THE ASTRONAUTICAL SCIENCES,"1,080",2.775,0.000780
1128,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,"1,880",2.772,0.001390
1128,PHYTOCHEMICAL ANALYSIS,"3,110",2.772,0.001850
1130,WASTE MANAGEMENT & RESEARCH,"4,867",2.771,0.003240
1131,NEUROBIOLOGY OF LEARNING AND MEMORY,"7,356",2.768,0.013450
1132,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,203,2.767,0.000150
1132,Ecohydrology,"3,030",2.767,0.005970
1134,BIOLOGICAL PSYCHOLOGY,"10,092",2.763,0.011890
1134,Molecular Imaging,"1,115",2.763,0.001210
1136,SYSTEMS & CONTROL LETTERS,"8,003",2.762,0.011210
1137,BEHAVIORAL ECOLOGY,"9,999",2.761,0.012480
1138,EUROPEAN JOURNAL OF PHYCOLOGY,"2,171",2.756,0.001880
1139,BIOLOGICAL CONTROL,"8,316",2.754,0.007260
1140,APPLIED OCEAN RESEARCH,"4,381",2.753,0.005530
1140,Processes,"1,918",2.753,0.001910
1140,REDOX REPORT,"1,666",2.753,0.001270
1143,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,"5,931",2.751,0.005650
1144,International Journal of Web and Grid Services,208,2.750,0.000310
1144,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,"12,232",2.750,0.009030
1144,MULTIVARIATE BEHAVIORAL RESEARCH,"7,111",2.750,0.007870
1147,Frontiers in Bioscience-Landmark,"8,356",2.747,0.004360
1148,Frontiers in Energy Research,"1,111",2.746,0.002920
1149,Annual Review of Resource Economics,818,2.745,0.002680
1150,Molecular Informatics,"1,428",2.741,0.002210
1150,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,"19,218",2.741,0.018460
1152,PLoS One,"688,786",2.740,1.389330
1153,COLD REGIONS SCIENCE AND TECHNOLOGY,"5,478",2.739,0.004630
1153,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,"3,819",2.739,0.001510
1153,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,"10,561",2.739,0.007660
1156,DISEASE MARKERS,"4,094",2.738,0.006660
1157,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,"3,765",2.733,0.005050
1158,Insect Conservation and Diversity,"1,314",2.729,0.002600
1159,MARINE ENVIRONMENTAL RESEARCH,"6,627",2.727,0.007940
1160,INFORMATION AND SOFTWARE TECHNOLOGY,"4,339",2.726,0.005350
1161,Pervasive and Mobile Computing,"2,274",2.725,0.003250
1162,PHOTOCHEMISTRY AND PHOTOBIOLOGY,"10,221",2.721,0.004880
1162,RESTORATION ECOLOGY,"5,681",2.721,0.005480
1164,JOURNAL OF EVOLUTIONARY BIOLOGY,"10,763",2.720,0.013030
1165,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,"38,250",2.717,0.030520
1166,IEEE Transactions on Learning Technologies,948,2.714,0.001160
1166,JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,"13,278",2.714,0.009920
1168,JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,"7,657",2.713,0.003770
1169,SIAM JOURNAL ON NUMERICAL ANALYSIS,"12,416",2.712,0.015810
1170,BIOLOGICAL PROCEDURES ONLINE,831,2.711,0.000900
1170,IEEE TRANSACTIONS ON COMPUTERS,"9,357",2.711,0.012870
1172,AEROBIOLOGIA,"1,565",2.708,0.001240
1172,MARINE STRUCTURES,"2,545",2.708,0.002570
1174,Frontiers in Materials,916,2.705,0.002150
1175,Energies,"29,605",2.702,0.038600
1176,Nanoscale and Microscale Thermophysical Engineering,551,2.700,0.000980
1177,JOURNAL OF VEGETATION SCIENCE,"8,371",2.698,0.006860
1178,Bayesian Analysis,"2,000",2.696,0.006610
1178,SOCIAL SCIENCE COMPUTER REVIEW,"1,871",2.696,0.003060
1180,CURRENT ISSUES IN MOLECULAR BIOLOGY,735,2.695,0.000850
1181,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,"12,270",2.692,0.009970
1182,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,"4,645",2.690,0.003270
1182,KOREAN JOURNAL OF CHEMICAL ENGINEERING,"6,992",2.690,0.007230
1184,ANIMAL BEHAVIOUR,"25,784",2.689,0.017840
1185,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,"6,418",2.680,0.007220
1186,IEEE Circuits and Systems Magazine,923,2.679,0.000840
1187,ASAIO JOURNAL,"3,356",2.678,0.006740
1187,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,"4,190",2.678,0.004590
1187,JOURNAL OF MOLECULAR NEUROSCIENCE,"5,770",2.678,0.007120
1187,Materials Today Communications,"1,187",2.678,0.002310
1191,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,"9,529",2.676,0.013580
1192,Big Data Research,462,2.673,0.001070
1193,ACM Transactions on Intelligent Systems and Technology,"3,727",2.672,0.004260
1193,IET Power Electronics,"5,682",2.672,0.011190
1193,MACHINE LEARNING,"18,677",2.672,0.004800
1196,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,"6,233",2.671,0.005130
1196,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,"14,935",2.671,0.007220
1198,JOURNAL OF ANTIBIOTICS,"8,728",2.668,0.005070
1199,Advances in Nonlinear Analysis,448,2.667,0.002100
1199,IEEE Transactions on Cognitive and Developmental Systems,461,2.667,0.001240
1199,Leukos,442,2.667,0.000660
1202,COMPUTERS & ELECTRICAL ENGINEERING,"4,867",2.663,0.007570
1203,POULTRY SCIENCE,"25,309",2.659,0.013330
1203,WIRELESS NETWORKS,"3,680",2.659,0.004300
1205,Frontiers in Energy,689,2.657,0.001030
1205,RADIATION RESEARCH,"8,707",2.657,0.005350
1207,Fungal Ecology,"2,746",2.656,0.005990
1208,OECOLOGIA,"32,699",2.654,0.019240
1209,Journal of Asian Ceramic Societies,"1,181",2.653,0.001900
1210,JOURNAL OF MECHANICAL DESIGN,"7,510",2.652,0.005190
1210,NEUROPSYCHOLOGIA,"25,071",2.652,0.026630
1212,DIAMOND AND RELATED MATERIALS,"9,078",2.650,0.005830
1213,JOURNAL OF AEROSOL SCIENCE,"7,215",2.649,0.004590
1214,AQUACULTURE ECONOMICS & MANAGEMENT,625,2.646,0.000820
1214,International Journal of Pavement Engineering,"2,342",2.646,0.003140
1214,Royal Society Open Science,"7,221",2.646,0.027400
1214,WIND ENERGY,"4,425",2.646,0.005570
1218,Symmetry-Basel,"4,888",2.645,0.005410
1219,Journal of Computational Science,"2,157",2.644,0.004340
1220,NeoBiota,455,2.643,0.000850
1221,BIOLOGICAL TRACE ELEMENT RESEARCH,"9,470",2.639,0.007610
1222,AQUACULTURAL ENGINEERING,"2,517",2.638,0.001300
1222,JOURNAL OF ENGINEERING EDUCATION,"2,659",2.638,0.001190
1224,Defence Technology,901,2.637,0.001350
1224,SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,"9,338",2.637,0.011670
1226,JOURNAL OF MATHEMATICAL PSYCHOLOGY,"3,063",2.635,0.003830
1227,JOURNAL OF BIOMOLECULAR NMR,"4,793",2.634,0.004370
1228,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,"36,831",2.633,0.036860
1229,CELL BIOCHEMISTRY AND FUNCTION,"2,430",2.632,0.002100
1230,Energy Science & Engineering,899,2.631,0.001640
1231,CURRENT GENOMICS,"2,190",2.630,0.002070
1232,DATA MINING AND KNOWLEDGE DISCOVERY,"3,566",2.629,0.003540
1233,CHINESE JOURNAL OF CHEMICAL ENGINEERING,"4,874",2.627,0.005690
1234,JOURNAL OF THERMAL STRESSES,"2,653",2.626,0.002370
1235,JOURNAL OF MAGNETIC RESONANCE,"11,924",2.624,0.009340
1236,Journal of Natural Fibers,"1,064",2.622,0.001010
1236,Life Science Alliance,310,2.622,0.001050
1238,Nano Communication Networks,517,2.621,0.000610
1239,Structure and Infrastructure Engineering,"2,406",2.620,0.003940
1240,Human Vaccines & Immunotherapeutics,"6,675",2.619,0.019710
1241,TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,"11,413",2.615,0.009420
1242,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,"25,333",2.614,0.018330
1243,Beilstein Journal of Nanotechnology,"4,872",2.612,0.009670
1244,Tissue Engineering Part C-Methods,"3,145",2.608,0.004120
1245,RHEOLOGICA ACTA,"4,334",2.604,0.003200
1246,Agronomy-Basel,"2,209",2.603,0.003270
1247,Biomass Conversion and Biorefinery,745,2.602,0.001240
1247,Bulletin of Earthquake Engineering,"4,250",2.602,0.008990
1247,MOBILE NETWORKS & APPLICATIONS,"2,281",2.602,0.002650
1247,NETWORKS,"2,518",2.602,0.002990
1251,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,"3,319",2.600,0.002760
1251,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,"9,003",2.600,0.015670
1253,Regenerative Medicine,"2,030",2.598,0.002730
1254,IEEE Transactions on Terahertz Science and Technology,"2,313",2.593,0.004840
1255,PRODUCTION AND OPERATIONS MANAGEMENT,"6,238",2.590,0.011520
1256,IEEE SOFTWARE,"2,675",2.589,0.003030
1256,International Journal of Geomechanics,"4,441",2.589,0.007650
1258,JOURNAL OF ELECTROCERAMICS,"2,909",2.588,0.001340
1259,ANNALS OF OPERATIONS RESEARCH,"8,598",2.583,0.010890
1260,ANIMAL FEED SCIENCE AND TECHNOLOGY,"11,772",2.582,0.009110
1260,Road Materials and Pavement Design,"2,722",2.582,0.003640
1262,VEHICLE SYSTEM DYNAMICS,"4,897",2.581,0.003690
1263,Optical Switching and Networking,499,2.577,0.000980
1264,CHEMBIOCHEM,"11,494",2.576,0.016840
1264,JOURNAL OF ADHESION,"2,243",2.576,0.001610
1266,APPLIED VEGETATION SCIENCE,"2,202",2.574,0.002860
1266,Frontiers in Neurorobotics,799,2.574,0.001560
1268,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,"3,232",2.573,0.006440
1269,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,"4,106",2.572,0.005230
1269,JOURNAL OF POLYMERS AND THE ENVIRONMENT,"4,631",2.572,0.002920
1271,Conservation Physiology,"1,342",2.570,0.004200
1272,Advances in Manufacturing,568,2.568,0.000910
1272,Clinical Proteomics,793,2.568,0.001700
1274,TRIBOLOGY LETTERS,"6,224",2.566,0.005540
1275,International Journal of Interactive Multimedia and Artificial Intelligence,537,2.561,0.000580
1276,Myrmecological News,615,2.558,0.000990
1277,Vitamins and Hormones,"1,853",2.557,0.001800
1278,Swarm Intelligence,591,2.556,0.000480
1279,IEEE Journal of the Electron Devices Society,"1,276",2.555,0.003520
1280,IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,"11,401",2.554,0.010640
1281,JOURNAL OF CULTURAL HERITAGE,"3,654",2.553,0.003030
1282,JOURNAL OF SYSTEMS ARCHITECTURE,"1,175",2.552,0.001110
1283,Chemical Biology & Drug Design,"4,549",2.548,0.005190
1284,URBAN ECOSYSTEMS,"2,811",2.547,0.003850
1285,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,"4,602",2.546,0.004090
1286,EXPERIMENTAL HEAT TRANSFER,"1,164",2.543,0.000780
1287,Avian Conservation and Ecology,511,2.541,0.001130
1288,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,"2,403",2.540,0.002890
1289,JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,"7,135",2.538,0.004660
1290,Biocybernetics and Biomedical Engineering,832,2.537,0.001460
1291,ECOTOXICOLOGY,"6,110",2.535,0.005350
1292,JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,"6,365",2.534,0.005330
1293,INSECT MOLECULAR BIOLOGY,"3,392",2.533,0.002940
1294,Sustainable Energy Grids & Networks,561,2.532,0.001260
1295,IEEE Journal of Translational Engineering in Health and Medicine-JTEHM,524,2.530,0.001240
1296,JOURNAL OF AGRICULTURAL ECONOMICS,"2,111",2.529,0.002240
1296,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,"2,567",2.529,0.002460
1298,JOURNAL OF MARINE SYSTEMS,"6,933",2.528,0.008020
1299,Biomechanics and Modeling in Mechanobiology,"3,209",2.527,0.006010
1300,Global Ecology and Conservation,"1,734",2.526,0.005950
1301,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,"2,561",2.524,0.001700
1302,JOURNAL OF THERMAL SPRAY TECHNOLOGY,"5,434",2.522,0.003520
1303,CURRENT PROTEIN & PEPTIDE SCIENCE,"2,795",2.520,0.003020
1304,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,"11,746",2.519,0.006810
1305,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,512,2.517,0.000550
1306,ULTRASOUND IN MEDICINE AND BIOLOGY,"10,763",2.514,0.011560
1307,Frontiers in Behavioral Neuroscience,"7,138",2.512,0.021860
1308,Ecological Informatics,"2,265",2.511,0.003980
1308,International Journal of Lean Six Sigma,723,2.511,0.000320
1310,COMPUTATIONAL LINGUISTICS,"2,426",2.510,0.001270
1311,EPILEPSY & BEHAVIOR,"11,202",2.508,0.016970
1312,MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,"6,326",2.506,0.003080
1313,NEURAL COMPUTATION,"14,624",2.505,0.005890
1314,Biomicrofluidics,"4,077",2.504,0.006310
1315,JOURNAL OF MATERIALS RESEARCH,"17,196",2.502,0.011700
